distribution,fileSizeBytes,round,sha256,encryptMs,decryptMs,success
binary-image-like,1048576,12,f885fd263949ec3a233888b019cc454700dd272c4df9a8ab8eef027411facc5d,0.8351,0.3710,true
binary-image-like,1048576,13,0ec5f2355c3f5547bef600cbe52b1177954a12916f512710c93b92b448fb9a6d,0.8822,0.3449,true
binary-image-like,1048576,14,521ae2d496a4e1f47f2ae6003e29875a3cf861ef50d21c69b8493c3a1191ad00,1.7134,0.3558,true
binary-image-like,1048576,15,0ef9304e3255c88b2b024edf76164c3869d9f9d637907a2a58bcd086dc7c8c74,0.9356,0.3465,true
binary-image-like,1048576,16,8ded65247287f703aeac79c6225f8f959daeb275666e4755ceeeae6303e2fb38,0.8878,0.3720,true
binary-image-like,1048576,17,ec58279ffdf04ee01100afbe80d07a549f7b36eb48521ce8deac688bff8e2bb5,0.8873,0.3585,true
binary-image-like,1048576,18,d5a3a727202ee73cf086249cd0686b4ad28527a847ab02879f46ac9ce1e78816,0.8328,0.3540,true
binary-image-like,1048576,19,a6f7d51f1d0f8bf3c7b611e9f09969fc2f2a85b97d77ec79d901afb59e11d8dd,0.9028,0.3548,true
binary-image-like,1048576,20,174b40ec15ef5c07a3e9d6206ba77324081323aed0767dbc231ce02d9d41bbae,0.7992,0.3301,true
binary-image-like,1048576,21,ffc3873a28f90abb2e254d51fe683b9c8de45449b43087282f8d28f856f84c76,0.7110,0.3268,true
binary-image-like,1048576,22,2357231aa7d66f521222e39201a336033445afde15d4e50f86aebd5ac6a5398f,0.7080,0.3251,true
binary-image-like,1048576,23,71a5cb281352eaa90963f628ada4f33b13e6d25fe28791c76d2c821982c1aa1b,0.7168,0.3358,true
binary-image-like,1048576,24,4980589a33b2b31bdc816b8ea0328305c840cbbb555cd6c6506a6273c9fc91c0,0.7214,0.3217,true
binary-image-like,1048576,25,83a8439a2283546376a797631ec0ad4f4cee1e7a7a811da966231bcbe5ebfd89,0.8767,0.3495,true
binary-image-like,1048576,26,023b7210a2e8cae4ae4a7768b55058e57a90abbb2305004a620d3c43fbb40c50,0.8679,0.3357,true
binary-image-like,1048576,27,266876b7858db90086d9a5e582a855099a31f5f13dfe4baad588181f34d3d335,0.7369,0.3233,true
binary-image-like,1048576,28,83aafb868b2c2d6be7179c29ff8787c1cc62a3eaaa7170554c38059bd67d5fa0,0.8732,0.3256,true
binary-image-like,1048576,29,8e386c03e7a7130b21ffcfe9ea41727acbd8729fdb9146312241997e169fdbfa,0.6993,0.3157,true
binary-image-like,1048576,30,0cda238399c6108b318b37362156e86ed5afc755b20cfad7e691b92331e84b7a,0.6752,0.3172,true
compressible,1048576,1,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9040,0.4066,true
compressible,1048576,2,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9751,0.3288,true
compressible,1048576,3,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9731,0.3274,true
compressible,1048576,4,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8915,0.3646,true
compressible,1048576,5,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8517,0.3380,true
compressible,1048576,6,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9562,0.3257,true
compressible,1048576,7,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7986,0.3196,true
compressible,1048576,8,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7663,0.3228,true
compressible,1048576,9,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7706,0.3289,true
compressible,1048576,10,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8490,0.3514,true
compressible,1048576,11,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7514,0.3573,true
compressible,1048576,12,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8044,0.5120,true
compressible,1048576,13,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8324,0.3289,true
compressible,1048576,14,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,1.0681,0.3287,true
compressible,1048576,15,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7510,0.3290,true
compressible,1048576,16,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7660,0.3273,true
compressible,1048576,17,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.6869,0.3165,true
compressible,1048576,18,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7530,0.3269,true
compressible,1048576,19,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7584,0.3187,true
compressible,1048576,20,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9963,0.3329,true
compressible,1048576,21,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9317,0.3311,true
compressible,1048576,22,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,1.1978,0.3533,true
compressible,1048576,23,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.9952,0.3268,true
compressible,1048576,24,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,1.2852,0.3895,true
compressible,1048576,25,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8620,0.3240,true
compressible,1048576,26,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7218,0.3256,true
compressible,1048576,27,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7836,0.3261,true
compressible,1048576,28,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,1.1354,0.3449,true
compressible,1048576,29,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.8458,0.3688,true
compressible,1048576,30,47f4fe5ebfc5e9990b172c30895df8989ce3e2dac6a21ba5b6d874d3d136a590,0.7136,0.3544,true
